comparison,false_positive_rate,true_positive_rate,auc
same_recording_split_halves,0.044713554,0.4122807,0.88157418
same_recording_split_halves,0.044868809,0.4122807,0.88157418
same_recording_split_halves,0.045024065,0.4122807,0.88157418
same_recording_split_halves,0.04517932,0.4122807,0.88157418
same_recording_split_halves,0.045334575,0.4122807,0.88157418
same_recording_split_halves,0.045489831,0.4122807,0.88157418
same_recording_split_halves,0.045645086,0.4122807,0.88157418
same_recording_split_halves,0.045800342,0.4122807,0.88157418
same_recording_split_halves,0.045955597,0.4122807,0.88157418
same_recording_split_halves,0.046110852,0.4122807,0.88157418
same_recording_split_halves,0.046266108,0.4122807,0.88157418
same_recording_split_halves,0.046421363,0.4122807,0.88157418
same_recording_split_halves,0.046576619,0.4122807,0.88157418
same_recording_split_halves,0.046731874,0.4122807,0.88157418
same_recording_split_halves,0.046887129,0.4122807,0.88157418
same_recording_split_halves,0.047042385,0.4122807,0.88157418
same_recording_split_halves,0.04719764,0.4122807,0.88157418
same_recording_split_halves,0.047352896,0.4122807,0.88157418
same_recording_split_halves,0.047352896,0.42105263,0.88157418
same_recording_split_halves,0.047508151,0.42105263,0.88157418
same_recording_split_halves,0.047663406,0.42105263,0.88157418
same_recording_split_halves,0.047818662,0.42105263,0.88157418
same_recording_split_halves,0.047973917,0.42105263,0.88157418
same_recording_split_halves,0.048129172,0.42105263,0.88157418
same_recording_split_halves,0.048284428,0.42105263,0.88157418
same_recording_split_halves,0.048439683,0.42105263,0.88157418
same_recording_split_halves,0.048594939,0.42105263,0.88157418
same_recording_split_halves,0.048750194,0.42105263,0.88157418
same_recording_split_halves,0.048905449,0.42105263,0.88157418
same_recording_split_halves,0.049060705,0.42105263,0.88157418
same_recording_split_halves,0.04921596,0.42105263,0.88157418
same_recording_split_halves,0.049371216,0.42105263,0.88157418
same_recording_split_halves,0.049526471,0.42105263,0.88157418
same_recording_split_halves,0.049681726,0.42105263,0.88157418
same_recording_split_halves,0.049836982,0.42105263,0.88157418
same_recording_split_halves,0.049992237,0.42105263,0.88157418
same_recording_split_halves,0.050147493,0.42105263,0.88157418
same_recording_split_halves,0.050302748,0.42105263,0.88157418
same_recording_split_halves,0.050458003,0.42105263,0.88157418
same_recording_split_halves,0.050613259,0.42105263,0.88157418
same_recording_split_halves,0.050768514,0.42105263,0.88157418
same_recording_split_halves,0.05092377,0.42105263,0.88157418
same_recording_split_halves,0.051079025,0.42105263,0.88157418
same_recording_split_halves,0.05123428,0.42105263,0.88157418
same_recording_split_halves,0.05123428,0.42982456,0.88157418
same_recording_split_halves,0.051389536,0.42982456,0.88157418
same_recording_split_halves,0.051544791,0.42982456,0.88157418
same_recording_split_halves,0.051700047,0.42982456,0.88157418
same_recording_split_halves,0.051855302,0.42982456,0.88157418
same_recording_split_halves,0.052010557,0.42982456,0.88157418
same_recording_split_halves,0.052165813,0.42982456,0.88157418
same_recording_split_halves,0.052321068,0.42982456,0.88157418
same_recording_split_halves,0.052476324,0.42982456,0.88157418
same_recording_split_halves,0.052631579,0.42982456,0.88157418
same_recording_split_halves,0.052786834,0.42982456,0.88157418
